Country,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Austria,18,18,18,18,18,18,18,16,15,15,15
Belgium,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,15,15,15,15,15,15,16,17,18,18,18
Croatia,19,20,20,20,20,20,20,20,20,21,21
Cyprus,29,29,29,29,29,30,30,30,30,30,30
Czechia,6,6,6,6,6,6,6,6,6,6,6
Denmark,30,30,30,31,31,31,31,31,31,31,31
Estonia,31,31,31,30,30,29,29,29,29,29,29
Finland,11,11,11,11,11,11,11,11,11,11,11
France,3,3,3,3,3,3,3,3,3,3,3
Germany,10,10,10,10,10,10,10,10,10,10,9
Greece,27,27,27,28,28,28,28,28,28,28,28
Hungary,4,4,4,4,4,4,4,4,4,5,5
Ireland,25,25,25,25,25,25,25,25,25,24,24
Italy,28,28,28,27,27,27,27,27,27,27,26
Latvia,13,13,12,12,12,13,13,13,13,14,16
Lithuania,5,5,5,5,5,5,5,5,5,4,4
Luxembourg,14,14,14,13,13,12,12,12,12,12,12
Malta,26,26,26,26,26,26,26,26,26,25,25
Netherlands,16,16,16,16,16,17,17,18,17,17,17
Norway,21,21,21,22,23,24,24,24,24,26,27
Poland,17,17,17,17,17,16,15,14,14,13,13
Portugal,20,19,19,19,19,19,19,19,16,16,14
Romania,8,8,8,8,8,8,8,8,9,9,10
Slovakia,22,22,22,21,21,21,21,21,21,20,20
Slovenia,23,23,23,23,22,22,22,23,23,23,23
Spain,24,24,24,24,24,23,23,22,22,22,22
Sweden,7,7,7,7,7,7,7,7,7,7,7
Switzerland,9,9,9,9,9,9,9,9,8,8,8
UK,12,12,13,14,14,14,14,15,19,19,19
USA,2,2,2,2,2,2,2,2,2,2,2
