Country,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Austria,18,18,18,18,18,19,19,19,18,18,17
Belgium,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,15,15,15,15,15,15,16,16,17,17,18
Croatia,19,19,19,19,19,18,18,17,16,16,16
Cyprus,29,29,29,29,29,29,30,30,30,30,30
Czechia,6,6,6,6,7,7,7,7,7,7,7
Denmark,30,30,30,30,30,30,29,29,29,29,29
Estonia,31,31,31,31,31,31,31,31,31,31,31
Finland,11,11,11,11,11,11,11,11,11,9,9
France,3,3,3,3,3,3,3,3,3,3,2
Germany,10,10,10,10,10,10,10,9,9,10,11
Greece,27,28,28,28,28,28,28,28,28,28,28
Hungary,4,4,4,4,4,4,4,4,4,4,4
Ireland,25,25,25,25,25,25,25,25,25,25,25
Italy,28,27,27,27,27,27,27,27,27,27,27
Latvia,13,13,12,13,13,13,13,13,14,14,14
Lithuania,5,5,5,5,5,5,5,5,5,5,5
Luxembourg,14,14,13,12,12,12,12,12,12,11,10
Malta,26,26,26,26,26,26,26,26,26,26,26
Netherlands,16,16,16,16,16,14,15,15,15,15,15
Norway,21,21,21,22,22,22,23,23,24,24,24
Poland,17,17,17,17,17,17,14,14,13,13,13
Portugal,20,20,20,20,20,20,20,21,21,21,22
Romania,8,8,8,8,8,8,8,8,8,8,8
Slovakia,22,22,22,21,21,21,21,20,20,20,19
Slovenia,23,23,23,23,23,23,22,22,22,22,21
Spain,24,24,24,24,24,24,24,24,23,23,23
Sweden,7,7,7,7,6,6,6,6,6,6,6
Switzerland,9,9,9,9,9,9,9,10,10,12,12
UK,12,12,14,14,14,16,17,18,19,19,20
USA,2,2,2,2,2,2,2,2,2,2,3
