Country,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Austria,18,19,19,19,19,20,20,21,21,22,21
Belgium,1,1,1,1,1,1,1,1,1,1,1
Bulgaria,15,14,12,12,12,12,13,14,15,16,19
Croatia,19,18,18,16,14,13,12,12,12,11,12
Cyprus,29,29,31,31,31,31,31,31,31,31,31
Czechia,6,6,6,6,5,5,5,5,5,5,6
Denmark,30,30,29,30,30,30,30,29,29,29,28
Estonia,31,31,30,29,29,29,28,28,27,26,26
Finland,11,11,11,11,11,9,9,8,7,7,8
France,3,3,3,3,3,3,3,3,3,3,3
Germany,10,9,9,8,8,8,7,6,6,6,5
Greece,27,28,28,28,28,28,29,30,30,30,30
Hungary,4,4,5,5,6,6,6,7,8,9,11
Ireland,25,25,25,25,24,23,23,23,22,20,17
Italy,28,27,27,26,26,26,24,24,24,21,16
Latvia,13,12,13,13,13,17,18,18,20,23,24
Lithuania,5,5,4,4,4,4,4,4,4,4,4
Luxembourg,14,15,14,14,15,15,16,16,14,13,9
Malta,26,26,26,27,27,27,27,27,28,28,27
Netherlands,16,16,16,15,17,16,17,17,16,15,15
Norway,21,21,23,23,23,24,26,26,26,27,29
Poland,17,17,17,18,16,14,14,13,13,10,10
Portugal,20,20,20,20,21,21,22,20,19,17,18
Romania,8,8,8,9,10,11,11,15,17,19,22
Slovakia,22,22,21,22,22,22,19,19,18,18,20
Slovenia,23,24,24,24,25,25,25,25,25,25,25
Spain,24,23,22,21,20,18,15,11,9,8,7
Sweden,7,7,7,7,7,7,8,9,10,12,13
Switzerland,9,10,10,10,9,10,10,10,11,14,14
UK,12,13,15,17,18,19,21,22,23,24,23
USA,2,2,2,2,2,2,2,2,2,2,2
